id:ID,name,entity_type,:LABEL,__name,__id,__drop_price
86,(Two Stocks not specified),Fired Up,Entity,(Two Stocks not specified),86,False
87,+,No Category,Entity,+,87,False
97,... Even After Better-Than-Expected Earnings?,Interest Rate,Entity,... Even After Better-Than-Expected Earnings?,97,False
103,1 Green Flag,Portfolio,Entity,1 Green Flag,103,False
104,1 Growth Stock Down 76% You'll Wish You'd Bought on the Dip,ECON_INDICATOR,Entity,1 Growth Stock Down 76% You'll Wish You'd Bought on the Dip,104,False
105,1 Iconic Stock Down 55% to Buy Now,AAPL,Entity,1 Iconic Stock Down 55% to Buy Now,105,False
106,1 No-Brainer Buffett Investment,AAPL,Entity,1 No-Brainer Buffett Investment,106,False
107,1 Stock,MMM,Entity,1 Stock,107,False
108,1 Warren Buffett Stock I'd Buy Before 2023 Without Any Hesitation,COMP,Entity,1 Warren Buffett Stock I'd Buy Before 2023 Without Any Hesitation,108,False
109,1 Year,No Category,Entity,1 Year,109,False
110,1 lot of Johnson's Baby Powder,Recall,Entity,1 lot of Johnson's Baby Powder,110,False
111,"1,000 Layoffs",ECON_INDICATOR,Entity,"1,000 Layoffs",111,False
112,"1,049 points",No Category,Entity,"1,049 points",112,False
113,"1,200 Points",Raise,Entity,"1,200 Points",113,False
114,1.6% Yield,WMT,Entity,1.6% Yield,114,False
120,10 Blue-Chip,DOW,Entity,10 Blue-Chip,120,False
121,10 Dividend Stocks,No Category,Entity,10 Dividend Stocks,121,False
122,10 roles,COMP,Entity,10 roles,122,False
123,10% Dip,No Category,Entity,10% Dip,123,False
124,10% increase since last earnings report,No Category,Entity,10% increase since last earnings report,124,False
125,10% jump in quarterly sales,COMP,Entity,10% jump in quarterly sales,125,False
126,10-Nanometer,No Category,Entity,10-Nanometer,126,False
127,10-Year Yield,Heating Up,Entity,10-Year Yield,127,False
128,10-year Bond Yield,ECON_INDICATOR,Entity,10-year Bond Yield,128,False
129,100% Stake in Securities JV in China,No Category,Entity,100% Stake in Securities JV in China,129,False
130,10nm Process,COMP,Entity,10nm Process,130,False
131,10nm production,No Category,Entity,10nm production,131,False
132,12.4%-Yielding ETF,DIS,Entity,12.4%-Yielding ETF,132,False
133,13-Inch MacBook Pro Stock,COMP,Entity,13-Inch MacBook Pro Stock,133,False
134,13F Filers,AMGN,Entity,13F Filers,134,False
135,13F Filing From Tiger Global Shows New Stake In ...,Impact,Entity,13F Filing From Tiger Global Shows New Stake In ...,135,False
136,15 Retail Survivors to Buy for the Long Run,Retail Industry,Entity,15 Retail Survivors to Buy for the Long Run,136,False
138,150 people,Negative_Impact_On,Entity,150 people,138,False
139,160+ Lawsuits,No Category,Entity,160+ Lawsuits,139,False
141,17% Gains,DOW,Entity,17% Gains,141,False
142,171 Points,US Dollar,Entity,171 Points,142,False
143,180 Points,No Category,Entity,180 Points,143,False
144,19% Year-To-Date Rally,INTC,Entity,19% Year-To-Date Rally,144,False
145,1M Face Shields Per Week For Coronavirus Health Workers,No Category,Entity,1M Face Shields Per Week For Coronavirus Health Workers,145,False
146,1MDB,ECON_INDICATOR,Entity,1MDB,146,False
147,1MDB Probe Settlement,Raise,Entity,1MDB Probe Settlement,147,False
148,1MDB Scandal,Unspecified,Entity,1MDB Scandal,148,False
149,1MDB case with Goldman,COMP,Entity,1MDB case with Goldman,149,False
151,2 AI Stocks That Are Safer Options for Retirees,Correlated_With,Entity,2 AI Stocks That Are Safer Options for Retirees,151,False
152,2 AI growth stocks,No Category,Entity,2 AI growth stocks,152,False
153,2 Airlines Unspecified,No Category,Entity,2 Airlines Unspecified,153,False
154,2 Best Biotech Stocks to Buy Right Now,AMGN,Entity,2 Best Biotech Stocks to Buy Right Now,154,False
155,2 Blue Chips,DOW,Entity,2 Blue Chips,155,False
156,2 Buffett Stocks to Buy in 2023 and Hold Forever,No Category,Entity,2 Buffett Stocks to Buy in 2023 and Hold Forever,156,False
157,2 Charts,COMP,Entity,2 Charts,157,False
158,2 Dividend Blue Chips Set To Soar And 1 Yield Trap To Ignore,No Category,Entity,2 Dividend Blue Chips Set To Soar And 1 Yield Trap To Ignore,158,False
159,2 FAANG Stocks,US Dollar,Entity,2 FAANG Stocks,159,False
160,2 Fintech Giants,AAPL,Entity,2 Fintech Giants,160,False
161,2 Fintech Giants Stock,COMP,Entity,2 Fintech Giants Stock,161,False
162,2 Genius Dividend Stocks,S&P 500,Entity,2 Genius Dividend Stocks,162,False
163,2 Growth Stocks,No Category,Entity,2 Growth Stocks,163,False
164,2 Key Industry Groups,No Category,Entity,2 Key Industry Groups,164,False
165,"2 Semiconductor Stocks With 149% to 178% Upside, According to Wall Street",Impact,Entity,"2 Semiconductor Stocks With 149% to 178% Upside, According to Wall Street",165,False
166,2 Smart Pick-and-Shovel Plays on the Future of Tech Innovation,KO,Entity,2 Smart Pick-and-Shovel Plays on the Future of Tech Innovation,166,False
167,2 Stocks,FIN_INSTRUMENT,Entity,2 Stocks,167,False
168,2 Stocks That Are Running Circles Around,No Category,Entity,2 Stocks That Are Running Circles Around,168,False
169,2 Suppliers,No Category,Entity,2 Suppliers,169,False
170,2 Tech Dividend Stocks to Buy and Hold Forever,Technology Stock,Entity,2 Tech Dividend Stocks to Buy and Hold Forever,170,False
171,2 Tech Stocks You Can Buy and Hold for the Next Decade,Portfolio Selection,Entity,2 Tech Stocks You Can Buy and Hold for the Next Decade,171,False
172,2 Top Tech,No Category,Entity,2 Top Tech,172,False
173,2 Top Value Stocks to Buy Right Now,S&P 500,Entity,2 Top Value Stocks to Buy Right Now,173,False
174,2 Top Warren Buffett Stocks to Buy Right Now,Not Specified,Entity,2 Top Warren Buffett Stocks to Buy Right Now,174,False
175,2 Top Warren Buffett Stocks to Buy in 2023,No Category,Entity,2 Top Warren Buffett Stocks to Buy in 2023,175,False
